file,num_qubits,num_gates,num_cx,num_measure,num_u1,num_u2,num_u3,depth
instructions_T10_idx018_x0_0_x2_1_x3_1.qasm,840,56322,27300,132,26605,1528,757,6915
instructions_T10_idx019_x0_0_x5_1.qasm,388,23361,11297,66,10995,660,343,3368
instructions_T12_idx001_x0_12.qasm,240,18460,8832,16,8633,720,259,1581
instructions_T12_idx002_x0_10_x1_1.qasm,280,22117,10651,22,10413,748,283,3094
instructions_T12_idx003_x0_8_x1_2.qasm,264,21710,10506,22,10284,660,238,4382
instructions_T12_idx004_x0_8_x2_1.qasm,312,23151,11162,33,10900,750,306,3205
instructions_T12_idx005_x0_6_x1_3.qasm,248,21303,10361,22,10155,572,193,5671
instructions_T12_idx006_x0_6_x1_1_x2_1.qasm,508,37809,18319,66,17889,1068,467,5236
instructions_T12_idx007_x0_6_x3_1.qasm,346,24214,11686,44,11399,756,329,3317
instructions_T12_idx008_x0_4_x1_4.qasm,232,20896,10216,22,10026,484,148,6960
instructions_T12_idx009_x0_4_x1_2_x2_1.qasm,492,37402,18174,66,17760,980,422,6525
instructions_T12_idx010_x0_4_x1_1_x3_1.qasm,612,43062,20861,88,20346,1208,559,5371
instructions_T12_idx011_x0_4_x2_2.qasm,265,19684,9551,33,9341,544,215,4209
instructions_T12_idx012_x0_4_x4_1.qasm,382,25304,12221,55,11910,766,352,3432
instructions_T12_idx013_x0_2_x1_5.qasm,216,20489,10071,22,9897,396,103,8249
instructions_T12_idx014_x0_2_x1_3_x2_1.qasm,476,36995,18029,66,17631,892,377,7814
instructions_T12_idx015_x0_2_x1_2_x3_1.qasm,596,42655,20716,88,20217,1120,514,6660
instructions_T12_idx016_x0_2_x1_1_x2_2.qasm,480,37051,18053,66,17655,900,377,6250
instructions_T12_idx017_x0_2_x1_1_x4_1.qasm,720,48374,23429,110,22828,1356,651,5507
instructions_T12_idx018_x0_2_x2_1_x3_1.qasm,872,59385,28772,132,28044,1648,789,7095
instructions_T12_idx019_x0_2_x5_1.qasm,420,26423,12769,66,12433,780,375,3548
instructions_T12_idx020_x0_0_x1_6.qasm,200,20094,9926,22,9766,308,72,9596
instructions_T12_idx021_x0_0_x1_4_x2_1.qasm,460,36600,17884,66,17500,804,346,9161
instructions_T12_idx022_x0_0_x1_3_x3_1.qasm,580,42260,20571,88,20086,1032,483,8007
instructions_T12_idx023_x0_0_x1_2_x2_2.qasm,464,36656,17908,66,17524,812,346,7597
instructions_T12_idx024_x0_0_x1_2_x4_1.qasm,704,47979,23284,110,22697,1268,620,6854
instructions_T12_idx025_x0_0_x1_1_x2_1_x3_1.qasm,1766,120097,58207,264,56733,3308,1585,9396
instructions_T12_idx026_x0_0_x1_1_x5_1.qasm,832,53755,26021,132,25333,1512,757,5701
instructions_T12_idx027_x0_0_x2_3.qasm,218,16228,7940,33,7779,338,138,5271
instructions_T12_idx028_x0_0_x2_1_x4_1.qasm,1054,68957,33384,165,32506,1938,964,7623
instructions_T12_idx029_x0_0_x3_2.qasm,268,17699,8609,44,8408,432,206,4141
instructions_T12_idx030_x0_0_x6_1.qasm,460,27582,13329,77,12966,798,412,3722
instructions_T14_idx001_x0_14.qasm,272,21534,10304,16,10069,840,305,1819
instructions_T14_idx002_x0_12_x1_1.qasm,312,25191,12123,22,11849,868,329,3332
instructions_T14_idx003_x0_10_x1_2.qasm,296,24784,11978,22,11720,780,284,4620
instructions_T14_idx004_x0_10_x2_1.qasm,344,26225,12634,33,12336,870,352,3443
instructions_T14_idx005_x0_8_x1_3.qasm,280,24377,11833,22,11591,692,239,5909
instructions_T14_idx006_x0_8_x1_1_x2_1.qasm,540,40883,19791,66,19325,1188,513,5474
instructions_T14_idx007_x0_8_x3_1.qasm,378,27288,13158,44,12835,876,375,3555
instructions_T14_idx008_x0_6_x1_4.qasm,264,23970,11688,22,11462,604,194,7198
instructions_T14_idx009_x0_6_x1_2_x2_1.qasm,524,40476,19646,66,19196,1100,468,6763
instructions_T14_idx010_x0_6_x1_1_x3_1.qasm,644,46136,22333,88,21782,1328,605,5609
instructions_T14_idx011_x0_6_x2_2.qasm,297,22758,11023,33,10777,664,261,4447
instructions_T14_idx012_x0_6_x4_1.qasm,414,28378,13693,55,13346,886,398,3670
instructions_T14_idx013_x0_4_x1_5.qasm,248,23563,11543,22,11333,516,149,8487
instructions_T14_idx014_x0_4_x1_3_x2_1.qasm,508,40069,19501,66,19067,1012,423,8052
instructions_T14_idx015_x0_4_x1_2_x3_1.qasm,628,45729,22188,88,21653,1240,560,6898
instructions_T14_idx016_x0_4_x1_1_x2_2.qasm,512,40125,19525,66,19091,1020,423,6488
instructions_T14_idx017_x0_4_x1_1_x4_1.qasm,752,51448,24901,110,24264,1476,697,5745
instructions_T14_idx018_x0_4_x2_1_x3_1.qasm,904,62459,30244,132,29480,1768,835,7333
instructions_T14_idx019_x0_4_x5_1.qasm,452,29497,14241,66,13869,900,421,3786
instructions_T14_idx020_x0_2_x1_6.qasm,232,23156,11398,22,11204,428,104,9776
instructions_T14_idx021_x0_2_x1_4_x2_1.qasm,492,39662,19356,66,18938,924,378,9341
instructions_T14_idx022_x0_2_x1_3_x3_1.qasm,612,45322,22043,88,21524,1152,515,8187
instructions_T14_idx023_x0_2_x1_2_x2_2.qasm,496,39718,19380,66,18962,932,378,7777
instructions_T14_idx024_x0_2_x1_2_x4_1.qasm,736,51041,24756,110,24135,1388,652,7034
instructions_T14_idx025_x0_2_x1_1_x2_1_x3_1.qasm,1798,123159,59679,264,58171,3428,1617,9576
instructions_T14_idx026_x0_2_x1_1_x5_1.qasm,864,56817,27493,132,26771,1632,789,5881
instructions_T14_idx027_x0_2_x2_3.qasm,250,19291,9412,33,9218,458,170,5451
instructions_T14_idx028_x0_2_x2_1_x4_1.qasm,1086,72020,34856,165,33945,2058,996,7803
instructions_T14_idx029_x0_2_x3_2.qasm,300,20761,10081,44,9846,552,238,4321
instructions_T14_idx030_x0_2_x6_1.qasm,492,30644,14801,77,14404,918,444,3902
instructions_T14_idx031_x0_0_x1_7.qasm,216,22761,11253,22,11073,340,73,11123
instructions_T14_idx032_x0_0_x1_5_x2_1.qasm,476,39267,19211,66,18807,836,347,10688
instructions_T14_idx033_x0_0_x1_4_x3_1.qasm,596,44927,21898,88,21393,1064,484,9534
instructions_T14_idx034_x0_0_x1_3_x2_2.qasm,480,39323,19235,66,18831,844,347,9124
instructions_T14_idx035_x0_0_x1_3_x4_1.qasm,720,50646,24611,110,24004,1300,621,8381
instructions_T14_idx036_x0_0_x1_2_x2_1_x3_1.qasm,1782,122764,59534,264,58040,3340,1586,10923
instructions_T14_idx037_x0_0_x1_2_x5_1.qasm,848,56422,27348,132,26640,1544,758,7228
instructions_T14_idx038_x0_0_x1_1_x2_3.qasm,484,39379,19259,66,18855,852,347,7560
instructions_T14_idx039_x0_0_x1_1_x2_1_x4_1.qasm,2206,145540,70453,330,68606,4152,1999,10166
instructions_T14_idx040_x0_0_x1_1_x3_2.qasm,586,42343,20607,88,20121,1044,483,6443
instructions_T14_idx041_x0_0_x1_1_x6_1.qasm,980,62255,30111,154,29299,1796,895,6076
instructions_T14_idx042_x0_0_x2_2_x3_1.qasm,857,59003,28633,132,27918,1562,758,6915
instructions_T14_idx043_x0_0_x2_1_x5_1.qasm,1274,81681,39507,198,38445,2360,1171,8333
instructions_T14_idx044_x0_0_x3_1_x4_1.qasm,1431,92760,44880,220,43689,2662,1309,10635
instructions_T14_idx045_x0_0_x7_1.qasm,534,31831,15374,88,14948,940,481,4077
instructions_T16_idx001_x0_16.qasm,304,24608,11776,16,11505,960,351,2057
instructions_T16_idx002_x0_14_x1_1.qasm,344,28265,13595,22,13285,988,375,3570
instructions_T16_idx003_x0_12_x1_2.qasm,328,27858,13450,22,13156,900,330,4858
instructions_T16_idx004_x0_12_x2_1.qasm,376,29299,14106,33,13772,990,398,3681
instructions_T16_idx005_x0_10_x1_3.qasm,312,27451,13305,22,13027,812,285,6147
instructions_T16_idx006_x0_10_x1_1_x2_1.qasm,572,43957,21263,66,20761,1308,559,5712
instructions_T16_idx007_x0_10_x3_1.qasm,410,30362,14630,44,14271,996,421,3793
instructions_T16_idx008_x0_8_x1_4.qasm,296,27044,13160,22,12898,724,240,7436
instructions_T16_idx009_x0_8_x1_2_x2_1.qasm,556,43550,21118,66,20632,1220,514,7001
instructions_T16_idx010_x0_8_x1_1_x3_1.qasm,676,49210,23805,88,23218,1448,651,5847
instructions_T16_idx011_x0_8_x2_2.qasm,329,25832,12495,33,12213,784,307,4685
instructions_T16_idx012_x0_8_x4_1.qasm,446,31452,15165,55,14782,1006,444,3908
instructions_T16_idx013_x0_6_x1_5.qasm,280,26637,13015,22,12769,636,195,8725
instructions_T16_idx014_x0_6_x1_3_x2_1.qasm,540,43143,20973,66,20503,1132,469,8290
instructions_T16_idx015_x0_6_x1_2_x3_1.qasm,660,48803,23660,88,23089,1360,606,7136
instructions_T16_idx016_x0_6_x1_1_x2_2.qasm,544,43199,20997,66,20527,1140,469,6726
instructions_T16_idx017_x0_6_x1_1_x4_1.qasm,784,54522,26373,110,25700,1596,743,5983
instructions_T16_idx018_x0_6_x2_1_x3_1.qasm,936,65533,31716,132,30916,1888,881,7571
instructions_T16_idx019_x0_6_x5_1.qasm,484,32571,15713,66,15305,1020,467,4024
instructions_T16_idx020_x0_4_x1_6.qasm,264,26230,12870,22,12640,548,150,10014
instructions_T16_idx021_x0_4_x1_4_x2_1.qasm,524,42736,20828,66,20374,1044,424,9579
instructions_T16_idx022_x0_4_x1_3_x3_1.qasm,644,48396,23515,88,22960,1272,561,8425
instructions_T16_idx023_x0_4_x1_2_x2_2.qasm,528,42792,20852,66,20398,1052,424,8015
instructions_T16_idx024_x0_4_x1_2_x4_1.qasm,768,54115,26228,110,25571,1508,698,7272
instructions_T16_idx025_x0_4_x1_1_x2_1_x3_1.qasm,1830,126233,61151,264,59607,3548,1663,9814
instructions_T16_idx026_x0_4_x1_1_x5_1.qasm,896,59891,28965,132,28207,1752,835,6119
instructions_T16_idx027_x0_4_x2_3.qasm,282,22365,10884,33,10654,578,216,5689
instructions_T16_idx028_x0_4_x2_1_x4_1.qasm,1118,75094,36328,165,35381,2178,1042,8041
instructions_T16_idx029_x0_4_x3_2.qasm,332,23835,11553,44,11282,672,284,4559
instructions_T16_idx030_x0_4_x6_1.qasm,524,33718,16273,77,15840,1038,490,4140
instructions_T16_idx031_x0_2_x1_7.qasm,248,25823,12725,22,12511,460,105,11303
instructions_T16_idx032_x0_2_x1_5_x2_1.qasm,508,42329,20683,66,20245,956,379,10868
instructions_T16_idx033_x0_2_x1_4_x3_1.qasm,628,47989,23370,88,22831,1184,516,9714
instructions_T16_idx034_x0_2_x1_3_x2_2.qasm,512,42385,20707,66,20269,964,379,9304
instructions_T16_idx035_x0_2_x1_3_x4_1.qasm,752,53708,26083,110,25442,1420,653,8561
instructions_T16_idx036_x0_2_x1_2_x2_1_x3_1.qasm,1814,125826,61006,264,59478,3460,1618,11103
instructions_T16_idx037_x0_2_x1_2_x5_1.qasm,880,59484,28820,132,28078,1664,790,7408
instructions_T16_idx038_x0_2_x1_1_x2_3.qasm,516,42441,20731,66,20293,972,379,7740
instructions_T16_idx039_x0_2_x1_1_x2_1_x4_1.qasm,2238,148602,71925,330,70044,4272,2031,10346
instructions_T16_idx040_x0_2_x1_1_x3_2.qasm,618,45405,22079,88,21559,1164,515,6623
instructions_T16_idx041_x0_2_x1_1_x6_1.qasm,1012,65317,31583,154,30737,1916,927,6256
instructions_T16_idx042_x0_2_x2_2_x3_1.qasm,889,62066,30105,132,29357,1682,790,7095
instructions_T16_idx043_x0_2_x2_1_x5_1.qasm,1306,84744,40979,198,39884,2480,1203,8513
instructions_T16_idx044_x0_2_x3_1_x4_1.qasm,1463,95822,46352,220,45127,2782,1341,10815
instructions_T16_idx045_x0_2_x7_1.qasm,566,34894,16846,88,16387,1060,513,4257
instructions_T16_idx046_x0_0_x1_8.qasm,232,25428,12580,22,12380,372,74,12650
instructions_T16_idx047_x0_0_x1_6_x2_1.qasm,492,41934,20538,66,20114,868,348,12215
instructions_T16_idx048_x0_0_x1_5_x3_1.qasm,612,47594,23225,88,22700,1096,485,11061
instructions_T16_idx049_x0_0_x1_4_x2_2.qasm,496,41990,20562,66,20138,876,348,10651
instructions_T16_idx050_x0_0_x1_4_x4_1.qasm,736,53313,25938,110,25311,1332,622,9908
instructions_T16_idx051_x0_0_x1_3_x2_1_x3_1.qasm,1798,125431,60861,264,59347,3372,1587,12450
instructions_T16_idx052_x0_0_x1_3_x5_1.qasm,864,59089,28675,132,27947,1576,759,8755
instructions_T16_idx053_x0_0_x1_2_x2_3.qasm,500,42046,20586,66,20162,884,348,9087
instructions_T16_idx054_x0_0_x1_2_x2_1_x4_1.qasm,2222,148207,71780,330,69913,4184,2000,11693
instructions_T16_idx055_x0_0_x1_2_x3_2.qasm,602,45010,21934,88,21428,1076,484,7970
instructions_T16_idx056_x0_0_x1_2_x6_1.qasm,996,64922,31438,154,30606,1828,896,7603
instructions_T16_idx057_x0_0_x1_1_x2_2_x3_1.qasm,1802,125487,60885,264,59371,3380,1587,9406
instructions_T16_idx058_x0_0_x1_1_x2_1_x5_1.qasm,2658,171145,82759,396,80557,5020,2413,10940
instructions_T16_idx059_x0_0_x1_1_x3_1_x4_1.qasm,2982,193446,93569,440,91104,5644,2689,13296
instructions_T16_idx060_x0_0_x1_1_x7_1.qasm,1132,70807,34221,176,33289,2088,1033,6453
instructions_T16_idx061_x0_0_x2_4.qasm,235,18909,9273,33,9092,372,139,6751
instructions_T16_idx062_x0_0_x2_2_x4_1.qasm,1071,71638,34717,165,33819,1972,965,7623
instructions_T16_idx063_x0_0_x2_1_x3_2.qasm,899,64476,31347,132,30591,1646,760,8395
instructions_T16_idx064_x0_0_x2_1_x6_1.qasm,1500,94481,45660,231,44418,2794,1378,9047
instructions_T16_idx065_x0_0_x3_1_x5_1.qasm,1729,109784,53064,264,51637,3234,1585,11706
instructions_T16_idx066_x0_0_x4_2.qasm,337,21876,10622,55,10360,564,275,4494
instructions_T16_idx067_x0_0_x8_1.qasm,610,36108,17429,99,16944,1086,550,4434
instructions_T18_idx001_x0_18.qasm,336,27682,13248,16,12941,1080,397,2295
instructions_T18_idx002_x0_16_x1_1.qasm,376,31339,15067,22,14721,1108,421,3808
instructions_T18_idx003_x0_14_x1_2.qasm,360,30932,14922,22,14592,1020,376,5096
instructions_T18_idx004_x0_14_x2_1.qasm,408,32373,15578,33,15208,1110,444,3919
instructions_T18_idx005_x0_12_x1_3.qasm,344,30525,14777,22,14463,932,331,6385
instructions_T18_idx006_x0_12_x1_1_x2_1.qasm,604,47031,22735,66,22197,1428,605,5950
instructions_T18_idx007_x0_12_x3_1.qasm,442,33436,16102,44,15707,1116,467,4031
instructions_T18_idx008_x0_10_x1_4.qasm,328,30118,14632,22,14334,844,286,7674
instructions_T18_idx009_x0_10_x1_2_x2_1.qasm,588,46624,22590,66,22068,1340,560,7239
instructions_T18_idx010_x0_10_x1_1_x3_1.qasm,708,52284,25277,88,24654,1568,697,6085
instructions_T18_idx011_x0_10_x2_2.qasm,361,28906,13967,33,13649,904,353,4923
instructions_T18_idx012_x0_10_x4_1.qasm,478,34526,16637,55,16218,1126,490,4146
instructions_T18_idx013_x0_8_x1_5.qasm,312,29711,14487,22,14205,756,241,8963
instructions_T18_idx014_x0_8_x1_3_x2_1.qasm,572,46217,22445,66,21939,1252,515,8528
instructions_T18_idx015_x0_8_x1_2_x3_1.qasm,692,51877,25132,88,24525,1480,652,7374
instructions_T18_idx016_x0_8_x1_1_x2_2.qasm,576,46273,22469,66,21963,1260,515,6964
instructions_T18_idx017_x0_8_x1_1_x4_1.qasm,816,57596,27845,110,27136,1716,789,6221
instructions_T18_idx018_x0_8_x2_1_x3_1.qasm,968,68607,33188,132,32352,2008,927,7809
instructions_T18_idx019_x0_8_x5_1.qasm,516,35645,17185,66,16741,1140,513,4262
instructions_T18_idx020_x0_6_x1_6.qasm,296,29304,14342,22,14076,668,196,10252
instructions_T18_idx021_x0_6_x1_4_x2_1.qasm,556,45810,22300,66,21810,1164,470,9817
instructions_T18_idx022_x0_6_x1_3_x3_1.qasm,676,51470,24987,88,24396,1392,607,8663
instructions_T18_idx023_x0_6_x1_2_x2_2.qasm,560,45866,22324,66,21834,1172,470,8253
instructions_T18_idx024_x0_6_x1_2_x4_1.qasm,800,57189,27700,110,27007,1628,744,7510
instructions_T18_idx025_x0_6_x1_1_x2_1_x3_1.qasm,1862,129307,62623,264,61043,3668,1709,10052
instructions_T18_idx026_x0_6_x1_1_x5_1.qasm,928,62965,30437,132,29643,1872,881,6357
instructions_T18_idx027_x0_6_x2_3.qasm,314,25439,12356,33,12090,698,262,5927
instructions_T18_idx028_x0_6_x2_1_x4_1.qasm,1150,78168,37800,165,36817,2298,1088,8279
instructions_T18_idx029_x0_6_x3_2.qasm,364,26909,13025,44,12718,792,330,4797
instructions_T18_idx030_x0_6_x6_1.qasm,556,36792,17745,77,17276,1158,536,4378
instructions_T18_idx031_x0_4_x1_7.qasm,280,28897,14197,22,13947,580,151,11541
instructions_T18_idx032_x0_4_x1_5_x2_1.qasm,540,45403,22155,66,21681,1076,425,11106
instructions_T18_idx033_x0_4_x1_4_x3_1.qasm,660,51063,24842,88,24267,1304,562,9952
instructions_T18_idx034_x0_4_x1_3_x2_2.qasm,544,45459,22179,66,21705,1084,425,9542
instructions_T18_idx035_x0_4_x1_3_x4_1.qasm,784,56782,27555,110,26878,1540,699,8799
instructions_T18_idx036_x0_4_x1_2_x2_1_x3_1.qasm,1846,128900,62478,264,60914,3580,1664,11341
instructions_T18_idx037_x0_4_x1_2_x5_1.qasm,912,62558,30292,132,29514,1784,836,7646
instructions_T18_idx038_x0_4_x1_1_x2_3.qasm,548,45515,22203,66,21729,1092,425,7978
instructions_T18_idx039_x0_4_x1_1_x2_1_x4_1.qasm,2270,151676,73397,330,71480,4392,2077,10584
instructions_T18_idx040_x0_4_x1_1_x3_2.qasm,650,48479,23551,88,22995,1284,561,6861
instructions_T18_idx041_x0_4_x1_1_x6_1.qasm,1044,68391,33055,154,32173,2036,973,6494
instructions_T18_idx042_x0_4_x2_2_x3_1.qasm,921,65140,31577,132,30793,1802,836,7333
instructions_T18_idx043_x0_4_x2_1_x5_1.qasm,1338,87818,42451,198,41320,2600,1249,8751
instructions_T18_idx044_x0_4_x3_1_x4_1.qasm,1495,98896,47824,220,46563,2902,1387,11053
instructions_T18_idx045_x0_4_x7_1.qasm,598,37968,18318,88,17823,1180,559,4495
instructions_T18_idx046_x0_2_x1_8.qasm,264,28490,14052,22,13818,492,106,12830
instructions_T18_idx047_x0_2_x1_6_x2_1.qasm,524,44996,22010,66,21552,988,380,12395
instructions_T18_idx048_x0_2_x1_5_x3_1.qasm,644,50656,24697,88,24138,1216,517,11241
instructions_T18_idx049_x0_2_x1_4_x2_2.qasm,528,45052,22034,66,21576,996,380,10831
instructions_T18_idx050_x0_2_x1_4_x4_1.qasm,768,56375,27410,110,26749,1452,654,10088
instructions_T18_idx051_x0_2_x1_3_x2_1_x3_1.qasm,1830,128493,62333,264,60785,3492,1619,12630
instructions_T18_idx052_x0_2_x1_3_x5_1.qasm,896,62151,30147,132,29385,1696,791,8935
instructions_T18_idx053_x0_2_x1_2_x2_3.qasm,532,45108,22058,66,21600,1004,380,9267
instructions_T18_idx054_x0_2_x1_2_x2_1_x4_1.qasm,2254,151269,73252,330,71351,4304,2032,11873
instructions_T18_idx055_x0_2_x1_2_x3_2.qasm,634,48072,23406,88,22866,1196,516,8150
instructions_T18_idx056_x0_2_x1_2_x6_1.qasm,1028,67984,32910,154,32044,1948,928,7783
instructions_T18_idx057_x0_2_x1_1_x2_2_x3_1.qasm,1834,128549,62357,264,60809,3500,1619,9586
instructions_T18_idx058_x0_2_x1_1_x2_1_x5_1.qasm,2690,174207,84231,396,81995,5140,2445,11120
instructions_T18_idx059_x0_2_x1_1_x3_1_x4_1.qasm,3014,196508,95041,440,92542,5764,2721,13476
instructions_T18_idx060_x0_2_x1_1_x7_1.qasm,1164,73869,35693,176,34727,2208,1065,6633
instructions_T18_idx061_x0_2_x2_4.qasm,267,21972,10745,33,10531,492,171,6931
instructions_T18_idx062_x0_2_x2_2_x4_1.qasm,1103,74701,36189,165,35258,2092,997,7803
instructions_T18_idx063_x0_2_x2_1_x3_2.qasm,931,67539,32819,132,32030,1766,792,8575
instructions_T18_idx064_x0_2_x2_1_x6_1.qasm,1532,97544,47132,231,45857,2914,1410,9227
instructions_T18_idx065_x0_2_x3_1_x5_1.qasm,1761,112846,54536,264,53075,3354,1617,11886
instructions_T18_idx066_x0_2_x4_2.qasm,369,24938,12094,55,11798,684,307,4674
instructions_T18_idx067_x0_2_x8_1.qasm,642,39169,18901,99,18381,1206,582,4614
instructions_T18_idx068_x0_0_x1_9.qasm,248,28095,13907,22,13687,404,75,14177
instructions_T18_idx069_x0_0_x1_7_x2_1.qasm,508,44601,21865,66,21421,900,349,13742
instructions_T18_idx070_x0_0_x1_6_x3_1.qasm,628,50261,24552,88,24007,1128,486,12588
instructions_T18_idx071_x0_0_x1_5_x2_2.qasm,512,44657,21889,66,21445,908,349,12178
instructions_T18_idx072_x0_0_x1_5_x4_1.qasm,752,55980,27265,110,26618,1364,623,11435
instructions_T18_idx073_x0_0_x1_4_x2_1_x3_1.qasm,1814,128098,62188,264,60654,3404,1588,13977
instructions_T18_idx074_x0_0_x1_4_x5_1.qasm,880,61756,30002,132,29254,1608,760,10282
instructions_T18_idx075_x0_0_x1_3_x2_3.qasm,516,44713,21913,66,21469,916,349,10614
instructions_T18_idx076_x0_0_x1_3_x2_1_x4_1.qasm,2238,150874,73107,330,71220,4216,2001,13220
instructions_T18_idx077_x0_0_x1_3_x3_2.qasm,618,47677,23261,88,22735,1108,485,9497
instructions_T18_idx078_x0_0_x1_3_x6_1.qasm,1012,67589,32765,154,31913,1860,897,9130
instructions_T18_idx079_x0_0_x1_2_x2_2_x3_1.qasm,1818,128154,62212,264,60678,3412,1588,10933
instructions_T18_idx080_x0_0_x1_2_x2_1_x5_1.qasm,2674,173812,84086,396,81864,5052,2414,12467
instructions_T18_idx081_x0_0_x1_2_x3_1_x4_1.qasm,2998,196113,94896,440,92411,5676,2690,14823
instructions_T18_idx082_x0_0_x1_2_x7_1.qasm,1148,73474,35548,176,34596,2120,1034,7980
instructions_T18_idx083_x0_0_x1_1_x2_4.qasm,520,44768,21937,66,21492,924,349,9050
instructions_T18_idx084_x0_0_x1_1_x2_2_x4_1.qasm,2242,150931,73131,330,71245,4224,2001,10176
instructions_T18_idx085_x0_0_x1_1_x2_1_x3_2.qasm,1890,136491,66337,264,64743,3556,1591,10906
instructions_T18_idx086_x0_0_x1_1_x2_1_x6_1.qasm,3122,196919,95143,462,92575,5912,2827,11716
instructions_T18_idx087_x0_0_x1_1_x3_1_x5_1.qasm,3594,227724,110041,528,107094,6820,3241,14450
instructions_T18_idx088_x0_0_x1_1_x4_2.qasm,728,50758,24659,110,24052,1316,621,6817
instructions_T18_idx089_x0_0_x1_1_x8_1.qasm,1288,79415,38357,198,37301,2388,1171,6831
instructions_T18_idx090_x0_0_x2_3_x3_1.qasm,874,61684,29966,132,29231,1596,759,7738
instructions_T18_idx091_x0_0_x2_2_x5_1.qasm,1291,84362,40840,198,39758,2394,1172,8333
instructions_T18_idx092_x0_0_x2_1_x3_1_x4_1.qasm,4563,292110,141210,660,137485,8686,4069,22905
instructions_T18_idx093_x0_0_x2_1_x7_1.qasm,1732,107368,51852,264,50427,3240,1585,9763
instructions_T18_idx094_x0_0_x3_3.qasm,286,20394,9948,44,9727,468,207,5621
instructions_T18_idx095_x0_0_x3_1_x6_1.qasm,2035,126920,61300,308,59629,3822,1861,12780
